id,carbs_ingredients_id,fruits_ingredients_id,vegetables_ingredients_id,amount_carbs,amount_fruits,amount_vegetables
1,28,1,19,83,111,61
2,26,4,19,111,140,35
3,28,4,19,92,125,40
4,20,1,10,115,112,50
5,28,1,19,114,136,48
6,26,1,22,104,110,50
7,28,2,11,118,105,53
1,26,2,18,102,125,53
2,26,5,18,107,130,53
3,27,4,16,117,110,65
4,20,6,15,94,136,61
5,27,5,12,84,133,63
6,28,3,15,80,100,70
7,27,8,19,122,149,34
1,26,5,14,103,110,44
2,27,7,10,103,100,66
3,20,8,16,110,105,37
4,27,7,13,115,130,32
5,27,7,16,82,137,59
6,26,3,11,110,113,71
7,20,4,22,121,116,53
1,28,7,14,119,145,75
2,26,4,21,117,120,54
3,20,2,14,85,134,68
4,27,1,12,77,127,37
5,28,1,16,86,145,41
6,20,1,14,95,128,52
7,20,4,9,85,144,35
1,26,5,13,87,114,74
2,26,7,22,99,134,50
3,27,7,9,90,141,36
4,26,8,17,81,147,76
5,20,1,19,124,125,56
6,20,5,18,88,114,52
7,20,4,12,90,149,62
1,26,8,16,99,146,70
2,20,6,14,88,113,73
3,26,6,13,104,132,40
4,20,8,15,119,110,73
5,26,4,21,93,102,55
6,26,5,13,105,129,66
7,26,7,19,83,131,53
1,26,6,18,92,137,63
2,20,2,19,77,124,60
3,26,1,21,88,117,77
4,27,3,9,89,138,38
5,27,7,17,124,104,73
6,28,2,10,118,148,54
7,28,5,9,89,111,48
1,20,6,18,91,107,68
2,28,5,18,119,104,33
3,26,5,11,97,104,72
4,20,3,14,114,143,45
5,28,4,12,78,142,44
6,20,5,16,78,118,34
7,20,8,12,89,129,74
1,20,6,22,91,113,74
2,26,8,19,115,119,30
3,28,6,16,103,111,44
4,27,2,10,80,123,36
5,27,8,16,107,128,58
6,20,6,9,103,111,38
7,26,8,15,110,115,46
1,20,1,15,102,111,70
2,28,5,12,118,120,75
3,27,7,16,117,136,60
4,27,2,15,113,121,38
5,20,1,17,116,106,38
6,26,7,11,103,109,30
7,20,6,22,98,126,63
1,28,4,17,114,146,44
2,27,1,9,107,128,33
3,28,3,17,114,118,33
4,26,2,18,111,101,36
5,20,7,15,82,108,30
6,20,3,10,107,112,46
7,26,2,21,119,143,43
1,20,4,13,90,140,35
2,26,2,12,75,141,56
3,27,1,11,122,104,49
4,26,2,15,124,118,46
5,27,4,22,124,127,77
6,26,5,15,76,110,57
7,20,4,15,109,140,71
1,20,6,10,104,108,65
2,26,6,17,116,120,54
3,28,5,11,123,108,33
4,20,4,9,112,116,48
5,27,3,14,111,139,33
6,26,1,10,122,139,40
7,20,4,15,82,107,48
1,28,6,14,93,145,61
2,28,2,19,120,104,35
3,28,6,13,124,141,66
4,28,8,14,96,101,78
5,28,7,12,87,115,48
6,20,5,15,100,122,46
7,27,5,14,84,149,40
1,28,4,11,78,116,35
2,27,8,14,95,134,69
3,26,6,10,99,137,56
4,27,5,16,100,149,54
5,27,1,9,76,121,31
6,28,7,15,114,148,76
7,26,5,22,108,149,74
1,20,7,22,89,134,73
2,26,1,17,114,133,41
3,27,1,18,86,140,47
4,26,3,9,120,105,63
5,28,2,10,98,143,35
6,28,6,19,84,104,31
7,20,8,13,77,134,79
1,27,6,21,87,108,62
2,27,6,21,121,135,76
3,27,7,16,115,124,50
4,28,6,21,81,124,44
5,20,6,10,105,139,74
6,28,5,11,98,131,56
7,28,3,18,81,111,48
1,26,5,21,111,137,52
2,26,6,11,122,101,52
3,27,2,14,98,121,46
4,26,4,14,105,148,74
5,26,8,10,76,128,53
6,27,1,9,109,141,57
7,28,3,17,79,132,58
1,28,7,22,111,149,65
2,27,4,11,105,111,66
3,26,2,11,80,125,75
4,20,2,13,94,146,77
5,20,4,18,96,133,41
6,28,8,9,94,136,64
7,28,6,13,90,100,70
1,27,7,15,86,118,49
2,20,6,19,94,144,57
3,27,5,10,79,105,75
4,20,2,19,80,123,35
5,26,1,13,77,100,37
6,28,4,21,83,119,56
7,27,1,22,114,107,67
1,28,3,16,123,103,35
2,26,2,11,91,137,61
3,28,6,21,75,135,77
4,26,6,14,80,104,38
